Organization URl,Organization Name,Industries,Headquarters Location,Headquarters Location 1,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Exit Date,Closed Date,Company Type,Full Description,Phone Number,Contact Email,LinkedIn,Facebook,Twitter,Website,Investor Type,component--field-formatter 20,component--field-formatter 21,component--field-formatter 22,component--field-formatter 24,component--field-formatter 25,component--field-formatter 26,component--field-formatter href 8,component--field-formatter 27,component--field-formatter 28,component--field-formatter 29,component--field-formatter 30,component--field-formatter 31,component--field-formatter 32,component--field-formatter 33,component--field-formatter 34,component--field-formatter 35,component--field-formatter 36,component--field-formatter 37,component--field-formatter 38,component--field-formatter 39,component--field-formatter 40,component--field-formatter 41,component--field-formatter 42,link-accent 6,link-accent href 6,link-accent 7,link-accent href 7,component--field-formatter 43,component--field-formatter href 19,link-accent 8,link-accent href 8,link-accent 9,link-accent href 9,link-accent 10,link-accent href 10,component--field-formatter 44,link-accent 14,link-accent href 14,link-accent 17,link-accent href 17,link-accent 18,link-accent href 18,ng-star-inserted 4,ng-star-inserted 5
https://www.crunchbase.com/organization/oman-technology-fund,Oman Technology Fund,,Muscat,Masqat,otf aims to be the innovation hub in MENA region & position Oman as the preferred destination for national and international entrepreneurs,"19,361",$1M to $10M,Active,1-Oct-16,�,�,�,"otf has 3 micro-funds which invests in:

� Idea Stage: Techween - Investment program ($50K Seed Ticket with potential follow on)

� Acceleration Stage: Wadi Accelerator (Initial ~$100K ticket with potential follow on)

� Growth Stage: Jasoor Ventures ($0.5M-3M - with follow on reserves)",�,info@otf.om,https://www.linkedin.com/company/oman-tech-fund/,,https://twitter.com/omantechfund,https://www.otf.om/,"Accelerator, Venture Capital","Early Stage Venture, Seed, Venture",�,�,�,�,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/oman-technology-fund,�,�,�,"$100,000 ","$100,000 ",Pre-Seed,"$100,000 ",Pre-Seed,"$100,000 ",10-Mar-20,Seed,1,1,1,�,�,,,,,,,,,,,,,,,,,,,,,
https://www.crunchbase.com/organization/bank-muscat,Bank Muscat,Banking,Muscat,Masqat,Bank Muscat is the leading financial services.,"22,004",$1B to $10B,Active,1982,�,�,For Profit,"Bank Muscat is the leading financial services provider in Oman with a strong presence in Corporate Banking, Retail Banking, Investment Banking, Islamic Banking, Treasury, Private Banking and Asset Management. The Bank has the largest network of 138 branches, 431 ATMs, 166 CDMs and more than 9000 PoS terminals.



The international operations consist of a branch each in Riyadh (Kingdom of Saudi Arabia), Kuwait and a Representative Office each in Dubai (UAE) and Singapore. bank muscat currently owns 97% stake in Muscat Capital LLC, a brokerage and investment banking entity in Saudi Arabia.",+968 24 768528,customerservice@bankmuscat.com,https://www.linkedin.com/company/bankmuscat/,https://www.facebook.com/bankmuscat,https://twitter.com/bank_muscat,http://www.bankmuscat.com/,�,�,�,�,�,�,5001-10000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/bank-muscat,�,�,",","$150,000,000 ",�,�,�,Debt Financing,"$150,000,000 ",10-Jun-20,�,1,�,1,�,�,Banking,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/banking,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/financial-services,View on Facebook,https://www.facebook.com/bankmuscat,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Lending and Investments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/lending-and-investments,,,,,,,,,,,
https://www.crunchbase.com/organization/emushrif,eMushrif,Information and Communications Technology (ICT),Muscat,Masqat,eMushrif brings IoT to logistics offering innovative solutions to real world problems from commuting management.,"34,475",$1M to $10M,Active,2016,�,�,For Profit,"eMushrif is bringing IoT technology to school buses enabling automatic attendance marking, visual child check system and detection system to ensure no child left on the school bus. The system also provides school admins and parents with mobile apps to track buses and kids along with important notifications.",+968 24222942,info@emushrif.om,https://in.linkedin.com/company/emushrif,,https://twitter.com/emushrif,https://emushrif.om/,�,�,�,�,�,�,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/emushrif,",",2,,"$3,300,000 ","$3,300,000 ",Series A,"$2,300,000 ",Series A,"$2,300,000 ",9-Dec-20,Early Stage Venture,2,1,8,1,Made Acquisitions,Information and Communications Technology (ICT),https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-communications-technology-ict,Information Services,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-services-f579,,,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,,,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-technology-dbca,",,,,",Dtec Ventures,https://www.crunchbase.com/organization/dtec-ventures,,,,,,
https://www.crunchbase.com/organization/bankdhofar,BankDhofar,Banking,Ruwi,Masqat,"BankDhofar, the best bank for you","40,495",$100M to $500M,Active,Jan-90,�,�,For Profit,"At BankDhofar we strive to be �the best bank for you� by making banking easy.

BankDhofar currently has a nationwide network of 68 branches and 145 ATMs and 52 CDMs across the length and breadth of the Sultanate.

As one of the fastest growing financial services institution in the Sultanate, we offer Corporate banking, Consumer banking, Treasury and Project Finance services - designed to meet the diverse needs of consumers, small and medium size businesses and mid-market companies in the region.",(247)911-11,sk.albalushi@bankdhofar.com,https://www.linkedin.com/company/bank-dhofar,https://www.facebook.com/BankDhofar/info/?tab=page_info,https://twitter.com/BankDhofar,http://bankdhofar.com/en-GB/Default.aspx,�,�,�,�,�,�,501-1000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/bankdhofar,�,�,",,,","$250,000,000 ",�,�,�,Debt Financing,"$250,000,000 ",5-Jan-16,�,1,�,5,�,�,Banking,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/banking,Customer Service,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/customer-service,View on Facebook,https://www.facebook.com/BankDhofar/info/?tab=page_info,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Lending and Investments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/lending-and-investments,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/financial-services,",,,,",National Bank of Abu Dhabi,https://www.crunchbase.com/organization/national-bank-of-abu-dhabi,Other,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/1718a583-5105-47e5-b3b0-16c2e3dca322,Professional Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/professional-services-abe5,,
https://www.crunchbase.com/organization/akeed-delivery,Akeed Delivery,E-Commerce,Muscat,Masqat,Akeed Delivery is an online platform to order food from its partnered restaurants.,"48,984",$10M to $50M,Active,2018,29-May-22,�,�,"Akeed Delivery is a food delivery application designed to make food ordering hassle-free. Akeed Delivery assists customers to place an order from their own choice of restaurant or food outlet around them, enabling customers to get the food delivered within the comforts of their home.",+968 24995300,SALES@AKEEDAPP.COM,https://linkedin.com/company/akeed-delivery,https://www.facebook.com/akeedapp/,https://www.twitter.com/akeedapp,https://www.akeedapp.com/,�,�,�,�,�,�,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/akeed-delivery,�,�,",,,","$2,500,000 ","$2,500,000 ",Series A,"$2,500,000 ",Series A,"$2,500,000 ",20-Dec-21,M&A,1,2,2,�,Was Acquired,E-Commerce,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/e-commerce-275d,Food and Beverage,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/food-and-beverage,View on Facebook,https://www.facebook.com/akeedapp/,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Food and Beverage,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/food-and-beverage-5f1e,Food Delivery,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/food-delivery,",",Internet,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/internet,Internet Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/internet-services,Transportation,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/transportation-adc3,,
https://www.crunchbase.com/organization/bon-ac9d,Bon,E-Commerce,Muscat,Masqat,Bon is a B2B Marketplace between coffeeshops and suppliers. Helping in removing the fragmentation in the coffee sector.,"70,230",�,Active,29-Aug-19,�,�,For Profit,Bon is a B2B Marketplace between coffeeshops and suppliers. Helping in removing the fragmentation in the coffee sector.,96871142287,info@boncoffee.store,https://www.linkedin.com/company/26644293,https://facebook.com/boncoffeestore,https://twitter.com/boncoffeestore,https://boncoffee.store/,�,�,�,�,�,�,10-Jan,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/bon-ac9d,",,",3,",,","$200,000 ","$200,000 ",Pre-Seed,"$150,000 ",Pre-Seed,"$150,000 ",2-Jun-22,Seed,2,1,1,�,�,E-Commerce,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/e-commerce-275d,E-Commerce Platforms,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/e-commerce-platforms,View on Facebook,https://facebook.com/boncoffeestore,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Food and Beverage,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/food-and-beverage-5f1e,Food and Beverage,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/food-and-beverage,,Marketplace,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/marketplace-772d,Internet Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/internet-services,,,,
https://www.crunchbase.com/organization/cubex-global,Cubex Global,Blockchain,Muscat,Masqat,B2B2C ocean freight marketplace,"74,592",�,Active,15-Jan-18,�,�,For Profit,�,�,info@cubex.global,https://www.linkedin.com/company/cubex-global/,https://www.facebook.com/cubex.global/,https://twitter.com/CubexGlobal,http://cubex.global/,�,�,�,�,�,�,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/cubex-global,,1,",","$99,956 ",�,Seed,�,Grant,"SAR375,000",10-Mar-22,Seed,2,1,2,�,�,Blockchain,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/blockchain,Logistics,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/logistics,View on Facebook,https://www.facebook.com/cubex.global/,Other,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/1718a583-5105-47e5-b3b0-16c2e3dca322,Transportation,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/transportation-adc3,,,",",,,,,,,,
https://www.crunchbase.com/organization/zomorod-e-commerce-llc,Zomorod E-commerce LLC,E-Commerce,Muscat,Masqat,Zomorod Ecommerce is an e-commerce organization focused on helping online retailers in the health and beauty products and logistics market.,"108,342",�,Active,1-Oct-18,�,�,For Profit,"Zomorod Ecommerce LLC is a leading e-commerce organization purposefully focused on online retailer of the concentrated niche market of health & beauty products and logistics. Zomorod operates in the Sultanate of Oman and currently delivers to its growing online retail market share in Oman, UAE, and KSA.   The company is built upon its robust value system to help more consumers by creating access to globally well-known brands and products.   Our purpose is to  Support businesses to launch their new brands around the MENA region through online possibilities with Zomorod. Protect consumers by providing transparency in the quality of products, pricing, and promotions to help them choose the best suitable product. Support the economy with world-class standards in technology and service. At Zomorod, with creative ideas, teamwork, and hard work, we create a unique and convenient online shopping experience.  At Zomorod our vision is to support more businesses, expand to more product lines, deliver to more areas, and make more friends out of our customers.",�,contact@zomorod.com,https://www.linkedin.com/company/zomorod-com/,https://www.facebook.com/zomorod.official,,https://zomorod.com/en/,�,�,�,�,�,�,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/zomorod-e-commerce-llc,,1,",,","$130,000 ","$130,000 ",Pre-Seed,"$130,000 ",Pre-Seed,"$130,000 ",1-May-19,Seed,1,�,�,�,�,E-Commerce,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/e-commerce-275d,Health Care,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/health-care,View on Facebook,https://www.facebook.com/zomorod.official,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Health Care,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/health-care-a53c,Logistics,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/logistics,�,,,Transportation,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/transportation-adc3,,,�,
https://www.crunchbase.com/organization/pioneer-games-studio,Pioneer Games Studio,Video Games,Muscat,Masqat,Pioneer Game Studio is a hub to create fun and attractive games.,"111,872",�,Active,2021,�,�,Non-profit,"Pioneer Game Studio is a hub to create fun and attractive games, currently working on several innovative prototypes for mobile platforms. The team is consisted of people with years of experience in gaming industry with successful projects in their background. in April 2021, Pioneer Games Studio founded to share ambitions, motivation, and efforts to inspire joy and excite new audiences.",�,vahid@pioneerinvestors.org,https://www.linkedin.com/company/pioneer-games/,,,https://pioneerinvestors.org/pgs/,�,�,�,�,�,�,10-Jan,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/pioneer-games-studio,",",2,,"$50,000 ","$50,000 ",Pre-Seed,"$50,000 ",Pre-Seed,"$50,000 ",2-Apr-21,Seed,1,1,1,�,�,Video Games,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/video-games,,,,,Gaming,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/gaming-02a6,,,,,,,,,,,,�,
https://www.crunchbase.com/organization/wish-work,Wish Work,Freelance,Muscat,Masqat,"Wish Work provides cutting-edge software solutions through the web, with the best integrating architecture approach.","113,068",�,Active,2-Feb-19,�,�,For Profit,software partner with integrations and pre-vetted top-notch freelancing solutions,�,info@wishwork.org,https://www.linkedin.com/company/wishwork/,,https://twitter.com/wishworkco,https://wishwork.org/,�,�,�,�,�,�,Nov-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/wish-work,,1,",,,","$50,000 ","$50,000 ",Pre-Seed,"$50,000 ",Pre-Seed,"$50,000 ",2-Jan-21,Seed,1,�,�,�,�,Freelance,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/freelance,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-technology-dbca,,,Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,Internet Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/internet-services,Internet,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/internet,�,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software,Professional Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/professional-services-abe5,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6,,
