Organization Name,Organization Name URL,Headquarters Location,Description,CB Rank (Company),Contact Email,Phone Number,Full Description,LinkedIn,Facebook,Twitter,Website,Company Type,Founders,Number of Employees,Headquarters Regions,Industries,Diversity Spotlight (US Only),Number of Articles,Hub Tags,SEMrush - Monthly Visits,SEMrush - Global Traffic Rank,Industry Groups,Estimated Revenue Range,SEMrush - Monthly Visits Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Number of Founders,Founded Date,Founded Date Precision,Operating Status,Investor Type,Investment Stage,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Funding Status,Number of Funding Rounds,Last Funding Date,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,SEMrush - Monthly Rank Growth,SEMrush - Page Views / Visit,Apptopia - Downloads Last 30 Days,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Investcorp,https://www.crunchbase.com/organization/investcorp-2,"Manama, Al Manamah, Bahrain","Investcorp is a provider and manager of alternative investment products, serving high-net-worth private and institutional clients.",960,felamine@investcorp.com,+97317532000,"Investcorp has earned distinction through reliability, transparency, business judgment, value creation, innovation and superior results. We combine the growth dynamics of Gulf capital and the alternative investment industry with international management discipline.",https://www.linkedin.com/company/investcorp,,https://twitter.com/Investcorp,http://www.investcorp.com/,For Profit,Nemir A. Kirdar,251-500,Gulf Cooperation Council (GCC),"Asset Management, Finance, Financial Services",,299,,"26,560","727,162",Financial Services,$10M to $50M,40.4%,50,,1,1982-01-01,year,Active,"Private Equity Firm, Venture Capital","Early Stage Venture, Late Stage Venture, Private Equity",65,53,32,Seed,2,2017-08-18,200000,USD,200000,200000,USD,200000,Seed,200000,USD,200000,Seed,200000,USD,200000,Mubadala Capital | Ventures US,,1,59,Made Acquisitions,,,,,,,,,,,,,,,-11.06%,3.52,,,,,,,
Rain,https://www.crunchbase.com/organization/rain-bh,"Manama, Al Manamah, Bahrain",Rain is an operator of digital currency exchange and custodian intended to make digital transactions.,"5,536",support@rain.bh,,Rain is a regulated cryptocurrency exchange operating in the Middle East.,https://www.linkedin.com/company/rainfinancial/,https://www.facebook.com/rainfinancial,https://twitter.com/rainfinancial,http://rain.bh,For Profit,"Abdullah Almoaiqel, AJ Nelson, Joe Dallago, Yehia Badawy",101-250,Gulf Cooperation Council (GCC),"Bitcoin, Financial Exchanges, Financial Services",,1,,"48,284","517,132","Financial Services, Lending and Investments, Payments, Software",$1M to $10M,-67.06%,42,,4,2017-09-01,month,Active,,,,,,Early Stage Venture,5,2021-01-17,17865000,USD,17865000,17865000,USD,17865000,Series A,6000000,USD,6000000,Series A,6000000,USD,6000000,"Coinbase, 500 Startups, CMT Digital Ventures, Cadenza Capital Management, Vision Ventures",1,13,,,,,,,,,,,,,,,,,146.14%,2.62,,,,,,,
GFH Financial Group,https://www.crunchbase.com/organization/gulf-finance-house,"Manama, Al Manamah, Bahrain",GFH is a dynamic financial investment group with a clear vision to develop a high growth.,"24,397",akarim@gfh.com,+973 17 538538,"GFH is a dynamic financial  investment group with a clear vision to develop a high growth, diversified investment and commercial portfolio. GFH actively seeks unique opportunities to grow the value and potential of its investments. To achieve industry-leading performance, GFH deploys its deep market insight, innovative thinking and investment intelligence, which are hallmarks of the brand and its approach.",https://www.linkedin.com/company/938219,https://www.facebook.com/gulffinancehousebsc,https://www.twitter.com/gfh_bsc,http://gfh.com/,For Profit,,101-250,Gulf Cooperation Council (GCC),"Banking, Financial Services, Innovation Management",,9,,"3,098","2,597,232","Financial Services, Lending and Investments, Professional Services",,-7.88%,6,1,,1999-01-01,year,Active,Investment Bank,,1,1,,IPO,2,2020-01-20,,,,300000000,USD,300000000,Post-IPO Equity,,,,Post-IPO Debt,300000000,USD,300000000,"Goldilocks Investment Co., Ltd.",1,1,2,Made Acquisitions,,,,,,,,,,GFH,https://www.crunchbase.com/ipo/gulf-finance-house-ipo--f563fc29,LSE - London Stock Exchange,,,31.92%,1.05,,,,,,,
inagrab,https://www.crunchbase.com/organization/inagrab,"Manama, Al Manamah, Bahrain","SaaS, Mobile App, Monetization of word of mouth","33,168",Business@dalooni.com,+14242452316,"Inagrab is a company with a mission to bridge the gap between businesses and people by monetizing word of mouth using their core product called Dalooni.  Dalooni is platform connects businesses with a sales force consisting of the everyday individual without technically paying them a salary, and helps the unemployed youth of the MENA Region get access to a source of income and enhance their business development capabilities gradually.",https://www.linkedin.com/company/13320390/,https://www.facebook.com/inagrabapp/,,http://www.dalooni.com,For Profit,"Hussain Haji, Mustafa Marhama",1-10,Gulf Cooperation Council (GCC),"Apps, Big Data, E-Commerce, SaaS",,26,,209,"6,304,817","Apps, Commerce and Shopping, Data and Analytics, Software",Less than $1M,-47.75%,57,,2,2017-01-01,day,Active,,,,,,Early Stage Venture,6,2020-01-03,1075000,USD,1075000,1100000,USD,1100000,Series A,700000,USD,700000,Series A,700000,USD,700000,"500 Startups, Arzan Venture Capital, Faith Capital, Rowad, Al Watan Holding",2,5,1,Made Acquisitions,,,,,,,,,,,,,,1,11.47%,1.5,,,,,,,
GetBaqala Inc.,https://www.crunchbase.com/organization/getbaqala,"Manama, Al Manamah, Bahrain","Mobile Commerce, Social Commerce, Fresh Food","49,157",care@getbaqala.com,,GetBaqala aims to build the infrastructure of fresh food commerce. The future is fresh.  MENA. Chinese Playbook. Social Commerce. Passion Economy. Platform. WhatsApp. OMO/O2O. New Retail.,https://www.linkedin.com/company/getbaqala/,https://www.facebook.com/getbaqala/,https://www.twitter.com/getbaqala/,https://www.baqalaat.com/,For Profit,"Aboobacker Shinan, Amjad Puliyali, Mashari Al Omayyer",51-100,Gulf Cooperation Council (GCC),"E-Commerce, Grocery, Internet, Social Shopping",,6,,,,"Commerce and Shopping, Food and Beverage, Internet Services",$1M to $10M,,60,,3,2016-09-01,day,Active,,,,,,,5,2019-12-29,2525000,USD,2525000,2525000,USD,2525000,Venture - Series Unknown,900000,USD,900000,Venture - Series Unknown,900000,USD,900000,"Social Capital, MSA Capital, MANAFA Capital, Bahrain Development Bank",1,4,,,,,,,,,,,,,,,,,,,,,,,,,
CTM360,https://www.crunchbase.com/organization/ctm360,"Manama, Al Manamah, Bahrain",CTM360® is a Digital Risk Protection platform powered by EDX Labs,"55,496",info@ctm360.com,+973 77 360 360,"CTM360® is a Cyber Security subscription service offering 24 x 7 x 365 Cyber Threat Management for detecting and responding to threats originating in cyberspace. A growth-stage startup headquartered in the Kingdom of Bahrain, CTM360 currently serves more than 30 of the Top 50 GCC Banks, as well as entities in Oil & Gas, Healthcare, Sovereign Wealth Funds, Aviation across 28 countries. CTM360 specializes in Offensive Defense and strives to strengthen a subscribed member’s security posture by making them a harder target in cyberspace. With 370,000+ unique incidents managed, 11 billion hacked accounts indexed, 350,000+ digital assets inventoried and 1000+ executives protected, CTM360 currently remains a leader in Cyberspace for Managed Threat Detection & Response, Digital Risk Management, Threat Intelligence, Corporate & VIP Brand Protection, Anti-Phishing, etc. CTM360 is offered as a service through an ecosystem built in the cloud and remains solely outside the perimeter of any organization.",https://in.linkedin.com/company/ctm360,https://www.facebook.com/ctm360/,https://twitter.com/teamctm360?,http://www.ctm360.com,For Profit,Mirza Asrar Baig,11-50,Gulf Cooperation Council (GCC),"Computer, Cyber Security, Information Technology, Risk Management, Software",,53,,123,"6,426,781","Consumer Electronics, Hardware, Information Technology, Privacy and Security, Professional Services, Software",$1M to $10M,-62.04%,51,,1,2014-08-01,day,Active,,,,,,Seed,1,2014-08-01,1000000,USD,1000000,1000000,USD,1000000,Angel,1000000,USD,1000000,Angel,1000000,USD,1000000,,,,,,,,,,,,,,,,,,,7,7.02%,2,,,,,,,
WafiApps.com,https://www.crunchbase.com/organization/wafiapps-com,"Manama, Al Manamah, Bahrain",Online Multivendor Marketplace,"60,661",pramod@wafiapps.com,97338383007,WafiApps.com is Bahrain's leading Multivendor e-commerce platform connecting local brand owners to consumers.,https://www.linkedin.com/company/wafiapps-com/,https://www.facebook.com/wafiapps,https://twitter.com/wafiapps,https://www.wafiapps.com,For Profit,"Hanan Janahi, Jacob Thomas, Pramod Joseph",11-50,Gulf Cooperation Council (GCC),"E-Commerce, E-Commerce Platforms, Internet of Things, Marketplace, Mobile Apps",,,,"2,324","2,978,275","Apps, Commerce and Shopping, Internet Services, Mobile, Software",,-41.3%,55,1,3,2016-12-16,day,Active,,,,,,Seed,1,2016-12-16,1000000,USD,1000000,1000000,USD,1000000,Pre-Seed,1000000,USD,1000000,Pre-Seed,1000000,USD,1000000,,,,,,,,,,,,,,,,,,,,31.52%,2.37,,,,,,,
Doctori,https://www.crunchbase.com/organization/doctori,"Manama, Al Manamah, Bahrain",Doctori is a NHRA licensed telemedicine application that connects board certified doctors with patients through video calls.,"62,925",,+973 35000021,DOCTORI Online Services W.L.L. is licensed by the NHRA to host this service. All Doctors on DOCTORI are verified by the NHRA. Terms and conditions Apply.,https://www.linkedin.com/company/doctori-online-services-w-l-l/,,,https://doctoriapp.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),"Apps, Health Care",,,,,,"Apps, Health Care, Software",$1M to $10M,,38,,,2019-01-01,day,Active,,,,,,Seed,1,2019-11-24,100000,USD,100000,100000,USD,100000,Pre-Seed,100000,USD,100000,Pre-Seed,100000,USD,100000,Flat6Labs,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Khaleeji Commercial Bank,https://www.crunchbase.com/organization/khaleeji-commercial-bank,"Manama, Al Manamah, Bahrain",Khaleeji Commercial Bank is a commercial bank institution and financial services handler.,"63,151",,+973 1754 0054,"Khaleeji Commercial Bank is known to be one of the leading Islamic banks in the Kingdom of Bahrain. Established in 2004, the bank has gained a well-acclaimed reputation in the field of Islamic banking. With the loyal trust of our shareholders, investors and the increasing number of clients, Khaleeji Commercial Bank has achieved key milestones over the years, thus personifying our identity in providing a better tomorrow. Completely Shari’a compliant, Khaleeji Commercial Bank strives to create an ideal banking experience, by offering a wide range of comprehensive financial and banking products and services that cater to the requirements of both the corporate and individual sectors.",,https://www.facebook.com/130366470373708,https://www.twitter.com/khcbonline,http://www.khcbonline.com,For Profit,,501-1000,Gulf Cooperation Council (GCC),"Accounting, Banking, Commercial, Financial Services",,4,,"15,260","998,286","Financial Services, Lending and Investments, Other, Professional Services",$10M to $50M,8.85%,25,,,2004-11-24,day,Active,,,1,1,1,,1,2016-12-25,25000000,USD,25000000,25000000,USD,25000000,Undisclosed,25000000,USD,25000000,Undisclosed,25000000,USD,25000000,,,,,,,,,,,,,,,,,,,,3.85%,1.76,,,,,,,
Taajer,https://www.crunchbase.com/organization/taajer,"Manama, Al Manamah, Bahrain",B2B Food Service Marketplace built for HORECA,"71,810",info@taajer.net,+973 32320632,B2B Food Service Marketplace built for HORECA. We offer Buy Now Pay Later option to HORECA businesses and make operations less time consuming to SME owners and chefs. Our Request For Quotation is built with highest quality standards design specifically for Food Service Industry.,https://www.linkedin.com/company/taajernet,https://facebook.com/taajernet,https://twitter.com/taajernet,https://taajer.net,For Profit,Omar Almunawer,1-10,Gulf Cooperation Council (GCC),"B2B, E-Commerce, Marketplace, Wholesale",,2,,188,"6,259,719","Commerce and Shopping, Other",,,,,1,2021-04-20,day,Active,,,,,,Seed,1,2021-04-20,32000,USD,32000,32000,USD,32000,Seed,32000,USD,32000,Seed,32000,USD,32000,"Tamkeen, Flat6Labs",1,2,,,,,,,,,,,,,,,,,,4,,,,,,,
