Transaction Name,Organization Url,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industries,Organization Location,Organization Location 1,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Investor Names 1,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series B - Tamara,https://www.crunchbase.com/organization/tamara,Tamara,Series B,"$100,000,000 ",22-Aug-22,Early Stage Venture,�,Yes,"Tamara offers a buy now, pay later platform that enables customers to pay in installments.",E-Commerce,Riyadh,Ar Riyad,https://tamara.com/,�,"$215,600,000 ",Early Stage Venture,5,Sanabil,Checkout.com,Coatue,5,�,4
Funding Round - CyberME Studio,https://www.crunchbase.com/organization/cyberme-studio,CyberME Studio,Funding Round,�,9-Aug-22,�,�,Yes,CyberME Studio offers a diverse portfolio of well-built firms in the cyber security and fintech sectors.,,Riyadh,Ar Riyad,https://www.cyberme.studio/,�,�,�,1,National Capital Cybersecurity Fund,National Capital Cybersecurity Fund,,1,�,"1,863"
Series C - Sary,https://www.crunchbase.com/organization/sary,Sary,Series C,"$75,000,000 ",19-Dec-21,Late Stage Venture,�,Yes,Sary is a MENAP B2B marketplace connecting small businesses with wholesalers and lenders to procure supply efficiently.,B2B,Ar Riyadh,Ar Riyad,https://www.sary.com/,$100M to $500M,"$112,100,000 ",Late Stage Venture,4,Sanabil,Bossanova Investimentos,Endeavor Catalyst,9,3,"4,377"
Pre Seed Round - Barakah,https://www.crunchbase.com/organization/barakah-dc3e,Barakah,Pre-Seed,"$300,000 ",3-Aug-22,Seed,�,Yes,Barakah is a food delivery startup based in Saudi Arabia.,Food and Beverage,Jeddah,Makkah,https://barakah.app/,�,"$300,000 ",Seed,1,Alriyadah Investments,Alriyadah Investments,,1,�,"4,820"
Corporate Round - Agriculture Development Company,https://www.crunchbase.com/organization/agriculture-development-company,Agriculture Development Company,Corporate Round,�,6-Jul-22,�,�,Yes,"Agriculture Development Company producers of poultry in the GCC region, selling under the brand name Tanmiah.",Food Processing,Thuwal,Ha'il,https://tanmiah.com/agriculture-development-company-ltd/,�,�,�,1,Tyson Foods,Tyson Foods,,1,�,"5,420"
Seed Round - Raqamyah Platform,https://www.crunchbase.com/organization/raqamyah-platform,Raqamyah Platform,Seed,"$2,500,000 ",7-Nov-21,Seed,�,Yes,Raqamyah Platform is a regulated peer to peer (P2P) financing platform by Saudi Arabian Monetary Authority (SAMA).,FinTech,Riyadh,Ar Riyad,https://www.raqamyah.com/,�,"$4,836,667 ",Seed,3,Impact46,Al Yusr,Fadeed Investment,5,3,"5,433"
Corporate Round - HyperPay,https://www.crunchbase.com/organization/gate2play,HyperPay,Corporate Round,"SAR138,000,000",26-May-22,�,�,Yes,"Payment Gateway, PSP, Online Payment, Fintech",FinTech,Riyadh,Ar Riyad,http://www.hyperpay.com/,�,"$50,486,629 ",�,4,Mastercard,AB Ventures LP,Amwal Capital Partners,3,1,"6,053"
Series C - Foodics,https://www.crunchbase.com/organization/foodics,Foodics,Series C,"$170,000,000 ",22-Mar-22,Late Stage Venture,�,Yes,"Foodics is a restaurant management system that manages sales, transactions, inventory, employee schedules, and customer relationships.",Management Information Systems,Riyadh,Ar Riyad,https://www.foodics.com/,�,"$197,996,075 ",Late Stage Venture,5,Prosus,Endeavor Catalyst,Prosus,6,2,"7,046"
Seed Round - AlGooru,https://www.crunchbase.com/organization/algooru,AlGooru,Seed,"$1,800,000 ",1-Jul-22,Seed,�,Yes,AlGooru is a mobile app that connects student with on-demand qualified tutors.,Communities,Riyadh,Ar Riyad,https://www.algooru.com/,�,"$1,800,000 ",Seed,2,,100 Ventures,Oqal,5,�,"7,594"
Venture Round - Red Sea Farms,https://www.crunchbase.com/organization/red-sea-farms,Red Sea Farms,Venture - Series Unknown,"$18,500,000 ",25-Apr-22,�,�,Yes,Red Sea Farms is an agriculture technology company enabling the commercial farming of produce using primarily salt water.,Agriculture,Thuwal,Ha'il,https://www.redseafarms.com/,�,"$38,848,000 ",�,6,Saudi Aramco Entrepreneurship Ventures,KAUST Innovation Fund,OlsonUbben,4,3,"7,712"
Series A - Lean Technologies,https://www.crunchbase.com/organization/lean,Lean Technologies,Series A,"$33,000,000 ",20-Jan-22,Early Stage Venture,�,Yes,Lean Technologies is a FinTech startup that develops a platform to provide access to consumer financial data.,Financial Services,Riyadh,Ar Riyad,https://www.leantech.me/,�,"$36,500,000 ",Early Stage Venture,4,Sequoia Capital India,Henrique Dubugras,Human Capital,10,5,"7,890"
Seed Round - Torod,https://www.crunchbase.com/organization/torod,Torod,Seed,"SAR5,000,000",31-May-22,Seed,�,Yes,Torod is an API aggregator that enables E-store owners to track and manage returns from a single screen.,E-Commerce,Riyad,Ar Riyad,https://torod.co/,�,"$1,333,196 ",Seed,2,Impact46,HALA Ventures,Impact46,3,2,"8,796"
Series A - Retailo Technologies,https://www.crunchbase.com/organization/retailo-technologies,Retailo Technologies,Series A,"$36,000,000 ",1-Feb-22,Early Stage Venture,�,Yes,Retailo Technologies is an online B2B marketplace that aims to technologically supercharge retail supply chain in the MENAP region.,B2B,Riyadh,Ar Riyad,https://retailo.co/,�,"$45,000,000 ",Early Stage Venture,5,Graphene Ventures,500 Startups,Abercross Holdings,10,1,"8,936"
Venture Round - Nana,https://www.crunchbase.com/organization/nana-direct,Nana,Venture - Series Unknown,"$50,000,000 ",2-Feb-22,�,�,Yes,Nana is a grocery shopping and delivery platform that offers grocery and other home essentials delivery.,Delivery,Riyadh,Ar Riyad,https://www.nana.sa/,$1M to $10M,"$78,959,999 ",�,6,FIM Partners,Faith Capital,FIM Partners,8,2,"9,559"
Seed Round - RedBox,https://www.crunchbase.com/organization/redbox-1308,RedBox,Seed,"SAR19,000,000",25-May-22,Seed,�,Yes,RedBox ships online products to the nearest smart locker for faster delivery and easy access.,E-Commerce,Riyadh,Ar Riyad,https://redboxsa.com/,�,"$9,580,544 ",Seed,4,Mad'a Investment Company,Mad'a Investment Company,RAAF Holding Company,2,1,"9,675"
