Transaction Name,Organization Url,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industries,Organization Location,Organization Location 1,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Investor Names,Investor Names 1,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Faceki,https://www.crunchbase.com/organization/faceki,Faceki,Seed,�,15-Aug-22,Seed,�,Yes,FACEKI is a real-time identity verification platform with advance biometric technology powered by AI.,Artificial Intelligence,Manama,Al Manamah,https://faceki.com/,�,�,Seed,3,Nama Ventures,Nama Ventures,3,3,374
Series B - Rain,https://www.crunchbase.com/organization/rain-bh,Rain,Series B,"$110,000,000 ",18-Jan-22,Early Stage Venture,"$390,000,000 ",Yes,Rain is an operator and custodian of digital currency exchange intended to make digital transactions.,Bitcoin,Manama,Al Manamah,http://rain.com/,�,"$228,690,000 ",Early Stage Venture,9,Kleiner Perkins,A'Z Angels,9,2,"5,707"
Seed Round - Unipal,https://www.crunchbase.com/organization/unipal,Unipal,Seed,�,22-May-22,Seed,�,Yes,Unipal provides university students access to tailored discounts and promotions through a digital identification.,Advertising,Manama,Al Manamah,https://unipal.me/,�,�,Seed,2,Tenmou,Tenmou,1,1,"15,419"
Seed Round - Calo,https://www.crunchbase.com/organization/calo,Calo,Seed,"$550,000 ",19-Apr-20,Seed,�,Yes,Calo is D2C foodtech startup that serves personalized meal subscriptions.,Food and Beverage,Manama,Al Manamah,https://calo.app/,�,"$15,622,500 ",Seed,6,Nama Ventures,Nama Ventures,2,�,"15,571"
Seed Round - Calo,https://www.crunchbase.com/organization/calo,Calo,Seed,"$13,500,000 ",8-Dec-21,Seed,�,Yes,Calo is D2C foodtech startup that serves personalized meal subscriptions.,Food and Beverage,Manama,Al Manamah,https://calo.app/,�,"$15,622,500 ",Seed,6,Khwarizmi Ventures,500 Startups,8,3,"17,247"
Pre Seed Round - Playbook,https://www.crunchbase.com/organization/playbook-1d59,Playbook,Pre-Seed,"$700,000 ",31-Jan-22,Seed,�,Yes,Playbook is an edutainment platform that accelerates career progression for women through masterclasses and an engaged community network.,EdTech,Manama,Al Manamah,http://www.get-playbook.com/,�,"$700,000 ",Seed,1,500 Startups,500 Startups,4,2,"18,822"
Venture Round - Bahrain Bay,https://www.crunchbase.com/organization/bahrain-bay,Bahrain Bay,Venture - Series Unknown,�,11-Dec-05,�,�,Yes,Bahrain Bay is a real estate development provider that offers residential units along with major five-star hotels.,Commercial Real Estate,Manama,Al Manamah,https://www.bahrainbay.com/,�,�,�,2,,Arcapita Ventures,1,�,"22,768"
Seed Round - CoinMENA,https://www.crunchbase.com/organization/coinmena,CoinMENA,Seed,"$9,500,000 ",8-Nov-21,Seed,�,Yes,"CoinMENA is a Sharia-compliant crypto-assets trading platform that buys, sells, stores, and receives digital asset's safety and security.",Asset Management,Manama,Al Manamah,https://www.coinmena.com/,�,"$9,500,000 ",Seed,1,,Alameda Research,7,2,"22,786"
Seed Round - Dallaspresso,https://www.crunchbase.com/organization/dallaspresso,Dallaspresso,Seed,"$212,000 ",13-Feb-22,Seed,�,Yes,Dallaspresso is a provider coffee capsules.,Coffee,Manama,Al Manamah,https://dallaspresso.bh/,�,"$212,000 ",Seed,1,Hope Ventures,Hope Ventures,1,2,"33,956"
Seed Round - Calo,https://www.crunchbase.com/organization/calo,Calo,Seed,"$1,360,000 ",28-Oct-20,Seed,�,Yes,Calo is D2C foodtech startup that serves personalized meal subscriptions.,Food and Beverage,Manama,Al Manamah,https://calo.app/,�,"$15,622,500 ",Seed,6,,Vision Ventures,1,�,"34,825"
