Transaction Name,Organization Url,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Teeela,https://www.crunchbase.com/organization/teeela,Teeela,Seed,"$3,750,000 ",1-Aug-22,Seed,�,Yes,"Teeela is the GCC�s fastest growing gifting platform, built to provide easiest, quickest, personalized gifting and toy buying experience",Baby,Kuwait,https://www.teeela.com/,�,"$3,750,000 ",Seed,1,Mad'a Investment Company,Al-Akeel family,2,1,970
Seed Round - Baims,https://www.crunchbase.com/organization/baims,Baims,Seed,"$2,200,000 ",30-Mar-22,Seed,�,Yes,Baims is an ed-tech start-up that allows top instructors to teach and students to study anytime and anywhere at a fraction of todays cost.,E-Learning,Kuwait,https://baims.com/,�,"$2,200,000 ",Seed,2,Rasameel Investment Company,Rasameel Investment Company,1,�,"3,729"
Venture Round - JustClean,https://www.crunchbase.com/organization/justclean,JustClean,Venture - Series Unknown,"$6,000,000 ",16-Mar-22,�,�,Yes,"JustClean is a laundry technology company that provides B2B and B2C services including marketplace applications, SaaS, and logistics.",B2B,Kuwait,https://justclean.com/,$50M to $100M,"$26,900,000 ",M&A,5,Gulf Investment,Gulf Investment,1,�,"13,082"
Seed Round - Raha,https://www.crunchbase.com/organization/raha-6887,Raha,Seed,"$6,700,000 ",31-Mar-22,Seed,�,Yes,"Raha is a pure-play, fully automated e-grocery platform offering a full range of groceries, fresh produce, and household essentials.",Consumer Goods,Kuwait,https://www.shopraha.com/,�,"$6,700,000 ",Seed,1,,,�,�,"19,103"
Seed Round - Enabill,https://www.crunchbase.com/organization/enabill,Enabill,Seed,"$1,200,000 ",24-May-22,Seed,�,Yes,Enabill is a fintech startup that offers innovative payment solutions to consumers and offline merchants.,Financial Services,Kuwait,https://enabill.com/,�,"$1,200,000 ",Seed,1,,The Taken Seat,1,1,"19,155"
Seed Round - myU,https://www.crunchbase.com/organization/myu,myU,Seed,"$200,000 ",25-Nov-19,Seed,�,Yes,myU is a smartphone app that makes your school communication easier.,Information Services,Kuwait,http://www.myu.co/,$1M to $10M,"$200,000 ",Seed,3,Vision Ventures,Seedstars,2,�,"20,998"
Pre Seed Round - Fiz,https://www.crunchbase.com/organization/fiz-8692,Fiz,Pre-Seed,"$2,500,000 ",5-Jan-22,Seed,�,Yes,Fiz is an on-demand grocery delivery service that will deliver all of your basic grocery needs to your door in less than 10 minutes.,E-Commerce,Kuwait,https://offer.fizapp.io/,�,"$2,500,000 ",Seed,1,Relish Venture Partners,Relish Venture Partners,2,2,"35,986"
Seed Round - BnchrPlus,https://www.crunchbase.com/organization/bnchrplus,BnchrPlus,Seed,�,24-Nov-21,Seed,�,Yes,BnchrPlus is a car maintenance company that provide reliable and convenient services at customer location.,Automotive,Kuwait,https://www.bnchrplus.com/,�,�,Seed,1,Brilliant Lab,Brilliant Lab,2,�,"50,520"
Series A - Tabeeby,https://www.crunchbase.com/organization/tabeeby,Tabeeby,Series A,"$770,000 ",10-Dec-18,Early Stage Venture,�,Yes,"A digital health platform that enables patients to smoothly communicate with their doctors, at anytime anywhere across the globe.",Health Care,Kuwait,http://tabeeby.com/,$1M to $10M,"$770,000 ",Early Stage Venture,3,Ground 1 Ventures,Ground 1 Ventures,1,�,"51,100"
Seed Round - Homewagon,https://www.crunchbase.com/organization/homewagon,Homewagon,Seed,"$950,000 ",5-May-18,Seed,�,Yes,Home Improvement eCommerce,E-Commerce,Kuwait,https://homewagon.com/en/,�,"$950,000 ",Seed,1,,,�,�,"57,706"
Debt Financing - National Bank of Kuwait,https://www.crunchbase.com/organization/national-bank-of-kuwait,National Bank of Kuwait,Debt Financing,"� 21,200,000",15-Sep-21,�,�,No,The first indigenous bank and the first shareholding company in the entire Gulf region.,Banking,Kuwait,http://www.nbk.com/,�,"� 21,200,000",IPO,1,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,1,�,"91,904"
Seed Round - InstaSalla,https://www.crunchbase.com/organization/instasalla,InstaSalla,Seed,"$3,000,000 ",1-Jan-16,Seed,�,Yes,InstaSalla is an e-commerce grocery platform that allows to ordering groceries from local-op.,Delivery,Kuwait,https://www.instasalla.com/,�,"$3,000,000 ",Seed,1,,,�,�,"164,986"
Venture Round - COFE App,https://www.crunchbase.com/organization/cofe-app,COFE App,Venture - Series Unknown,"$10,000,000 ",20-Apr-21,�,"$30,000,000 ",Yes,"Online Coffee Market Place, Mobile App, Food & Delivery, On-Demand Delivery, Coffee Delivery App",Apps,Kuwait,https://cofeapp.com/,�,"$13,200,000 ",�,3,Al Imtiaz Investment Group,Al Imtiaz Investment Group,1,�,"170,094"
Seed Round - WEBSLOGIX,https://www.crunchbase.com/organization/webslogix,WEBSLOGIX,Seed,"$100,000 ",4-Jan-10,Seed,�,Yes,"Website Design & Mobile Development Agency based in Kuwait with offices in Dubai & Detroit, Michigan.",Mobile,Kuwait,,�,"$100,000 ",Seed,1,,,�,�,"175,669"
Pre Seed Round - FinFirst Capital,https://www.crunchbase.com/organization/finfirst-capital,FinFirst Capital,Pre-Seed,"$1,800,000 ",3-Jan-18,Seed,�,Yes,"""The"" SuperApp for everything finance and money.",Banking,Kuwait,https://www.finfirst.com/,�,"$3,800,000 ",Seed,2,Abbas Hijazi,Abbas Hijazi,1,�,"189,161"
Venture Round - Floward,https://www.crunchbase.com/organization/flowardco,Floward,Venture - Series Unknown,"$2,750,000 ",7-Oct-20,�,�,Yes,Floward is an online flowers and gifts eCommerce solution sourced from local and international brands with same-day delivery schedules.,E-Commerce,Kuwait,http://www.floward.com/,�,"$30,250,000 ",Early Stage Venture,3,Impact46,BNK Ventures,3,1,"194,040"
Seed Round - AZ eWallet,https://www.crunchbase.com/organization/az-ewallet,AZ eWallet,Seed,"$1,100,000 ",17-Jun-21,Seed,�,Yes,A to Z for all your FinTech services!,Debit Cards,Kuwait,http://az-ewallet.com/,�,"$1,100,000 ",Seed,1,,,�,�,"236,326"
